,date,tic,open,high,low,close,volume,s,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence
0,2023-04-03,BVH,47452.9428,47843.502,47452.9428,47843.502,275500.0,ok,-148.2108263077971,48613.66449628773,46843.88597371227,50.39459962310552,-18.023907358983923,3.8190657402149686,47786.54545,47937.073475,24.07873976342863
0,2023-04-03,CTG,26389.461,26881.4679,26300.0052,26792.0121,3732300.0,ok,95.79728849346066,26720.84119659176,25123.267693408245,55.610803573313135,153.90133099545722,11.93840639906534,25724.50622,26022.69222,24.07873976342863
0,2023-04-03,DIG,14100.0,14400.0,13950.0,14400.0,20426500.0,ok,35.57833266745911,13975.281208972874,10844.718791027126,51.08224250033091,127.13000191460846,13.792966696707667,12735.0,14006.666666666666,24.07873976342863
0,2023-04-03,DXG,12271.9898,12698.4296,12177.2254,12698.4296,20091400.0,ok,342.97813395582307,12399.734470378704,9732.491149621297,55.91611996335295,195.2959650440363,26.803916442341553,10700.796048,11444.538647333333,24.07873976342863
0,2023-04-03,EIB,16108.694,16659.7809,16066.3027,16617.3896,5353700.0,ok,-126.88950265722815,17509.70863887858,15453.766241121422,48.441170773475505,17.927029415478113,0.9670769428082177,16285.324416666666,17122.798756666667,24.07873976342863
0,2023-04-03,FPT,67476.5814,68751.3279,67221.6321,68751.3279,1170200.0,ok,-135.601972717428,68632.42845505005,65802.33743494994,53.89214657530132,57.956777996071274,0.6248485853202005,67609.72159,68384.484185,24.07873976342863
0,2023-04-03,HAG,7390.0,7440.0,7360.0,7390.0,6172300.0,ok,-151.62145189323655,7707.401819012383,7164.598180987617,43.696733396208614,-60.8637171542481,11.883807753586497,7518.666666666667,8179.0,24.07873976342863
0,2023-04-03,HCM,17830.14215,17898.32625,17693.77395,17796.0501,9073800.0,ok,291.00238353710665,17600.914545536187,15625.197384463812,57.162276515568905,204.17422867513557,24.918112517109208,16491.460986666665,16181.942462500001,24.07873976342863
0,2023-04-03,HPG,21050.0,21100.0,20850.0,21000.0,21370500.0,ok,25.52680459821204,21522.68224742335,19997.31775257665,52.853073386713774,40.903954802259534,5.646414093043731,20755.0,20705.833333333332,24.07873976342863
0,2023-04-03,HQC,3900.0,3900.0,3880.0,3900.0,30029400.0,ok,129.58449271951258,3823.9305504860686,3305.0694495139314,60.449832263521586,185.04959848842722,36.6103767120186,3536.0,3156.5,24.07873976342863
