account_rewards,date
-281959.8728866577,2022-07-15
3068043.9702949524,2022-07-18
17000705.83490944,2022-07-19
2922728.5214500427,2022-07-20
-2748203.806787491,2022-07-21
-4857105.076931,2022-07-22
-3235099.378475189,2022-07-25
11058049.455181122,2022-07-26
15482810.020971298,2022-07-27
-20118740.861989975,2022-07-28
42675925.08929062,2022-07-29
10783359.06937027,2022-08-01
11559529.803192139,2022-08-02
-3225851.1750011444,2022-08-03
-5691109.767850876,2022-08-04
5235753.225233078,2022-08-05
-2724994.985092163,2022-08-08
4265860.964292526,2022-08-09
-4159507.9348716736,2022-08-10
18718406.978765488,2022-08-11
14038250.8728199,2022-08-12
1638594.5591011047,2022-08-15
-114496.6540260315,2022-08-16
-4201366.634313583,2022-08-17
-13812082.484941483,2022-08-18
-7109262.411554337,2022-08-19
23667375.33261299,2022-08-22
12418826.141410828,2022-08-23
20220785.94745636,2022-08-24
-17264601.668628693,2022-08-25
-26211510.88470459,2022-08-26
14560787.345897675,2022-08-29
-11240973.624620438,2022-08-30
9485204.802301407,2022-08-31
-8716575.129962921,2022-09-05
-94705194.8961792,2022-09-06
-16168986.122617722,2022-09-07
42460654.04285431,2022-09-08
-13264977.984321594,2022-09-09
-7827558.181505203,2022-09-12
-2461540.457420349,2022-09-13
9909703.76955223,2022-09-14
-39538076.728170395,2022-09-15
-46952712.650131226,2022-09-16
38095774.55045509,2022-09-19
-27779882.470006943,2022-09-20
-144745.07763290405,2022-09-21
-38852246.663627625,2022-09-22
-105454549.11018944,2022-09-23
-35173635.1673584,2022-09-26
-62137112.350868225,2022-09-27
-57561375.92196655,2022-09-28
17341431.415843964,2022-09-29
-174081572.81817818,2022-09-30
-53554681.522008896,2022-10-03
88910739.84853554,2022-10-04
-125523545.13130379,2022-10-05
-142740401.71372604,2022-10-06
21879373.33916092,2022-10-07
-131535682.28697014,2022-10-10
109411988.47910118,2022-10-11
41901619.530498505,2022-10-12
