account_rewards,date
5560268.041381836,2020-10-08
2939772.379928589,2020-10-09
6511948.3911418915,2020-10-12
11321821.41079712,2020-10-13
5080034.898675919,2020-10-14
-670134.3338680267,2020-10-15
9010639.892477036,2020-10-16
9722160.556179047,2020-10-19
-22249749.734092712,2020-10-20
14076447.440073013,2020-10-21
603723.1837806702,2020-10-22
-25882711.775556564,2020-10-23
-4060812.1663455963,2020-10-26
-20992466.024404526,2020-10-27
-2312289.7761859894,2020-10-28
-5230793.698789597,2020-10-29
25288428.429569244,2020-10-30
12827359.534164429,2020-11-02
2819918.107027054,2020-11-03
-8596318.480018616,2020-11-04
4339457.700017929,2020-11-05
22171665.460363388,2020-11-06
-6089467.554901123,2020-11-09
169772.5680141449,2020-11-10
14851462.62050438,2020-11-11
13766810.006925583,2020-11-12
-12413472.467842102,2020-11-13
29349317.193519592,2020-11-16
4088159.5002059937,2020-11-17
13662625.885835648,2020-11-18
12144407.36092186,2020-11-19
3709578.761127472,2020-11-20
6389614.09144783,2020-11-23
-2132623.6088199615,2020-11-24
15211234.286512375,2020-11-25
10304778.685022354,2020-11-26
-11634395.821296692,2020-11-27
6897599.874422073,2020-11-30
7306342.780971527,2020-12-01
19834874.23452568,2020-12-02
74600.37343597412,2020-12-03
16780537.26934433,2020-12-04
18356721.33426857,2020-12-07
22002929.88960266,2020-12-08
-16796100.685071945,2020-12-09
26939987.20841217,2020-12-10
38476112.23441124,2020-12-11
-7452638.954252243,2020-12-14
10939931.96888733,2020-12-15
-11693460.112462997,2020-12-16
46150329.10323715,2020-12-17
35908453.42651558,2020-12-18
24601102.866394043,2020-12-21
-17273578.06069374,2020-12-22
-13844875.012319565,2020-12-23
46951015.08616257,2020-12-24
26450230.290145874,2020-12-25
850350.0740890503,2020-12-28
-7596385.9510269165,2020-12-29
35328644.076408386,2020-12-30
-2857716.8443489075,2020-12-31
266892.1539955139,2021-01-04
