date,BVH,CTG,DIG,DXG,EIB,FPT,HAG,HCM,HPG,HQC,HSG,HUT,ITA,KBC,KDH,MBB,MSN,NVB,PDR,PVD,PVS,REE,SBT,SHS,SSI,STB,TTF,VCB,VIC,VNM
2021-04-12,0,73,9,0,100,25,21,100,100,0,100,3,100,54,0,54,0,8,54,-55,0,63,73,71,-100,27,-36,0,-48,0
2021-04-13,0,-67,20,0,-22,-25,90,16,17,72,-26,-19,-10,-61,100,-54,33,25,0,51,0,31,-45,-100,24,100,-9,0,-65,0
2021-04-14,44,-18,-75,59,-78,0,-13,-5,-11,-2,-20,100,-94,-6,100,71,15,100,-100,39,0,100,-28,-100,12,-94,100,72,100,0
2021-04-15,-44,78,-89,-59,33,0,100,27,-72,-70,-54,24,-100,79,-72,-71,-48,100,-68,-40,0,-60,91,100,-100,-86,-27,-16,-100,18
2021-04-16,0,-88,3,0,58,89,-83,54,-34,0,0,100,4,56,71,0,0,-3,-100,87,100,-79,100,-42,98,100,100,-12,100,66
2021-04-19,0,-100,-100,70,100,27,-87,100,0,0,0,4,-100,-12,-100,0,79,-1,-100,-100,75,-29,90,-50,76,7,40,56,-78,-84
2021-04-20,0,-60,-97,-32,-77,-100,34,-43,6,60,100,-68,-100,-100,100,0,-61,82,54,58,61,100,100,41,52,-5,-100,100,-100,100
2021-04-22,82,100,0,-38,94,4,100,73,69,100,-88,-38,-84,85,-100,0,-18,-50,100,-24,-49,14,-17,86,100,-75,50,100,100,-100
2021-04-23,57,-56,100,8,-100,-20,-100,86,100,100,-8,-100,40,21,-99,0,8,23,97,63,3,83,-70,-33,-28,73,-24,-23,36,31
2021-04-26,58,64,-100,-8,26,0,-100,8,89,78,100,0,-81,-100,0,100,-8,28,-69,28,100,-87,46,-49,74,-100,-82,3,100,9
2021-04-27,24,53,100,0,86,0,66,93,-24,35,42,-49,-81,100,54,100,0,61,-100,-14,100,-30,6,-100,100,-100,31,17,16,100
2021-04-28,72,100,-100,0,100,0,100,-79,69,98,-72,-100,-96,96,35,-100,0,100,-100,-100,-100,35,-100,-37,-35,-25,37,100,-54,9
2021-04-29,-100,19,13,0,100,100,32,100,-100,-100,-74,-16,100,-19,-89,-100,100,-100,25,62,52,77,34,-34,-10,-37,62,9,49,-77
2021-05-04,-193,-1197,-3702,0,-420,-100,-1409,-584,-209,-371,0,-3328,-100,-4370,0,0,-100,-373,-3993,-2850,-342,-265,-280,-3475,-4147,-2419,-4407,-406,-755,-72
2021-05-05,100,0,100,30,0,0,0,0,0,0,0,28,30,0,0,0,0,0,0,100,39,0,100,21,0,0,58,0,7,12
2021-05-06,-4,21,57,100,0,0,0,98,54,0,0,51,-30,45,7,0,0,0,0,88,7,0,-100,16,97,0,0,0,-7,79
2021-05-07,100,14,100,-45,100,0,32,70,54,0,0,-79,0,100,-7,100,0,0,0,53,91,0,63,-37,100,21,6,93,30,-25
2021-05-10,-100,-35,-100,28,-46,0,-8,27,-100,100,96,37,40,-67,24,73,88,100,0,100,-100,0,100,0,-52,-16,66,-48,100,-66
2021-05-11,-96,0,94,34,49,0,84,-40,34,79,-96,65,-40,-62,-24,100,-88,21,5,100,-37,31,100,93,42,47,-21,-45,-67,100
2021-05-12,0,0,100,-41,-100,0,-4,-100,100,-24,0,100,100,86,0,1,0,61,-5,-67,54,-31,-68,100,-42,-52,68,0,-63,-100
2021-05-13,18,21,-18,7,100,0,100,100,-100,37,11,-60,-66,-23,0,100,0,-61,0,100,16,0,-37,-100,-59,0,100,0,0,0
2021-05-14,32,100,-77,100,-100,100,100,100,100,100,100,100,-34,81,23,-3,0,-38,50,8,28,0,-100,-19,-86,0,-100,0,100,18
2021-05-17,100,84,39,-80,-3,64,88,62,-6,-11,0,14,0,-37,87,-18,22,26,-50,12,73,0,100,11,0,2,-94,17,-33,-18
2021-05-18,-100,-100,-100,-9,89,39,100,-4,0,60,100,96,0,100,100,-35,75,57,41,-8,100,0,-92,-85,0,-2,-83,-7,27,64
2021-05-19,100,74,-100,-5,100,-64,7,100,84,100,95,100,0,33,100,-14,39,47,-41,58,100,21,-40,49,0,0,0,61,100,39
2021-05-20,-150,-179,-95,-119,-189,-139,-499,-413,-220,-441,-306,-452,0,-256,-310,-304,-136,-213,0,-544,-371,-21,-26,-49,0,0,0,-71,-194,-103
2021-05-21,100,0,100,43,17,0,100,16,52,71,0,0,0,0,33,0,7,100,100,0,0,0,0,0,100,0,100,100,0,0
2021-05-24,-100,0,-100,-43,-17,77,45,-6,28,64,63,47,0,0,-33,100,-7,-100,-93,100,3,0,0,0,-95,21,86,-100,0,0
2021-05-25,0,0,98,0,75,-77,100,68,-80,-71,100,100,0,100,72,100,100,0,-7,-39,-3,48,36,76,82,-21,-79,11,76,0
2021-05-26,49,0,100,100,-13,66,-71,-78,17,-64,100,-32,0,30,-72,100,-7,100,0,86,0,-48,24,100,51,100,56,64,87,6
2021-05-27,-49,0,-100,100,-23,100,56,69,53,58,62,100,100,0,0,-100,44,100,0,56,33,66,22,68,100,36,25,-37,-100,-6
2021-05-28,0,100,100,-91,-39,26,-100,-69,-51,98,26,61,-11,-63,50,100,100,100,0,6,-33,-58,65,100,-41,28,100,-38,100,100
2021-05-31,11,-100,-8,-100,0,-1,-62,0,49,-30,15,52,-8,-67,-50,67,-100,18,0,100,100,28,-6,-40,12,46,-92,0,-51,38
2021-06-01,-11,33,-100,-9,100,-47,-68,100,0,54,-84,23,-6,100,0,-15,27,-6,0,65,-68,-23,12,-15,-16,-48,86,0,-21,-30
2021-06-02,0,24,56,21,100,95,6,-17,33,100,-100,100,83,0,85,-40,33,57,0,82,-32,61,100,65,-6,100,-100,50,100,100
2021-06-03,0,-17,16,33,-68,-22,-6,70,-58,-100,-70,-100,-18,42,16,100,-100,100,0,-100,100,100,-100,-79,100,-71,86,18,-53,-100
2021-06-04,16,-40,16,100,-41,0,67,-100,23,43,-62,14,34,100,-100,0,100,-100,0,30,37,15,-63,-100,-76,-100,-33,60,100,-86
2021-06-07,-12,100,45,-99,-45,3,26,95,21,-37,-18,100,-100,10,-1,-100,-23,100,0,76,100,100,-90,4,90,86,44,-8,86,-6
2021-06-08,-4,61,20,-4,-13,-100,49,-70,-83,59,-32,38,-65,27,67,10,96,32,0,-71,-10,100,0,-29,-100,-100,8,-56,-1,-16
2021-06-09,0,43,100,31,-33,-100,0,-77,-4,100,14,-2,18,100,33,-85,-100,96,100,99,36,18,100,-34,-100,-77,-100,41,100,100
2021-06-10,100,11,-60,-52,0,76,100,54,100,50,5,1,-12,100,-40,53,-24,100,-1,-100,-15,44,-100,38,-56,94,-100,100,67,8
2021-06-11,-30,43,11,-30,100,-96,100,100,36,100,-19,-28,-11,100,-60,-91,-7,77,60,85,100,-10,14,100,100,-36,-87,-1,-80,-8
2021-06-14,-49,-100,91,0,100,0,-79,55,-45,-63,0,-100,100,15,0,30,5,100,-80,57,-43,34,-14,12,38,-47,100,-100,-100,100
2021-06-15,14,-78,-100,0,-73,0,-100,-24,72,76,29,49,100,100,0,-7,-58,39,-79,-26,-21,22,56,-4,99,-11,48,-43,6,13
2021-06-16,-35,-80,-82,29,-56,17,64,15,-100,-64,100,2,-100,56,11,-100,-86,100,0,73,-18,-65,62,-51,100,0,-100,100,18,13
2021-06-17,66,0,17,3,-71,64,54,-100,-63,-100,-22,-38,50,80,64,-17,0,100,100,-100,20,77,-100,-94,10,0,100,-16,96,-23
2021-06-18,-31,0,-90,-32,0,82,36,-55,0,100,-27,-47,-100,100,99,3,0,-30,25,-100,59,-79,28,-1,-81,1,74,55,-100,77
2021-06-21,-35,0,-61,0,3,-8,-100,-46,0,48,-8,7,89,100,100,98,0,-100,-84,-19,26,100,100,-58,29,-1,-100,46,69,-100
2021-06-22,0,58,27,67,21,100,62,100,0,2,-40,51,42,31,52,-80,0,-73,59,100,100,45,57,-58,-22,56,100,100,100,-11
2021-06-23,46,-58,45,-67,100,62,-21,84,0,-100,100,39,-100,-58,-76,-26,0,39,-2,-100,100,-100,-9,0,-72,86,50,15,45,54
2021-06-24,100,0,96,29,94,-69,-58,21,20,77,-27,100,-85,39,-22,-19,0,35,33,60,47,-25,-100,0,65,-34,-91,-96,81,-100
2021-06-25,-61,0,74,9,100,-2,56,-100,6,-100,59,-100,25,85,-100,32,0,19,59,56,100,-33,100,100,100,-42,27,-14,-48,86
2021-06-28,23,90,-94,-31,-100,-100,34,11,-26,-100,66,14,-25,17,-75,-87,0,28,6,100,-3,45,100,74,-10,-5,63,100,-93,28
2021-06-29,-49,20,100,100,78,86,73,-51,100,58,-18,30,0,-74,-53,-5,0,-100,-24,100,-100,100,45,-100,-100,75,45,13,-64,-98
