account_rewards,date
1176100.8515586853,2020-04-10
413244.0918159485,2020-04-13
703000.4256649017,2020-04-14
-195959.12509918213,2020-04-15
1563426.784626007,2020-04-16
611964.1478710175,2020-04-17
-6457990.382194519,2020-04-20
982763.2329883575,2020-04-21
580890.3837375641,2020-04-22
1287250.2928714752,2020-04-23
-1743043.1340179443,2020-04-24
-418054.1634578705,2020-04-27
679351.6646461487,2020-04-28
-1833800.5749378204,2020-04-29
1329370.4941692352,2020-05-04
3571332.1774082184,2020-05-05
1809996.0651550293,2020-05-06
2723003.7814502716,2020-05-07
2412904.5330142975,2020-05-08
1873695.586019516,2020-05-11
466027.6202507019,2020-05-12
515678.9911766052,2020-05-13
-2150243.308195114,2020-05-14
1244821.6366386414,2020-05-15
2198041.184026718,2020-05-18
1512181.302061081,2020-05-19
2676250.5749206543,2020-05-20
-3806651.5486660004,2020-05-21
2477574.5090579987,2020-05-22
4076087.981031418,2020-05-25
-4035488.5969486237,2020-05-26
194617.233171463,2020-05-27
713746.9715957642,2020-05-28
4195290.734323502,2020-05-29
-950018.6477355957,2020-06-01
2316870.357913971,2020-06-02
638809.0636367798,2020-06-03
1027827.0708274841,2020-06-04
6232681.802391052,2020-06-05
1626352.0838413239,2020-06-08
842601.5663871765,2020-06-09
-13359526.491710663,2020-06-10
-2434475.535610199,2020-06-11
-450084.4043445587,2020-06-12
450633.6064300537,2020-06-15
-567288.4643497467,2020-06-16
-286664.22288513184,2020-06-17
1101165.0790748596,2020-06-18
-171582.25422859192,2020-06-19
-600198.4325199127,2020-06-22
-489407.4513683319,2020-06-23
-396110.70031547546,2020-06-24
-1229409.169631958,2020-06-25
-2828269.65029335,2020-06-26
-755448.1248207092,2020-06-29
2657817.6166877747,2020-06-30
-472655.69784736633,2020-07-01
570173.2177371979,2020-07-02
1535501.8149795532,2020-07-03
-384003.6285972595,2020-07-06
-146998.95129013062,2020-07-07
1108248.9094638824,2020-07-08
