date,BVH,CTG,DIG,DXG,EIB,FPT,HAG,HCM,HPG,HQC,HSG,HUT,ITA,KBC,KDH,MBB,MSN,NVB,PDR,PVD,PVS,REE,SBT,SHS,SSI,STB,TTF,VCB,VIC,VNM
2022-10-14,0,-100,100,100,100,18,0,66,100,0,-54,-97,-100,-78,100,0,-100,0,100,-100,100,0,53,0,0,-100,100,100,74,-55
2022-10-17,0,-100,-100,57,43,-94,0,100,35,100,-100,80,100,-22,74,0,45,0,55,-59,-67,100,100,61,0,-100,49,-33,-40,-100
2022-10-18,0,-100,0,-84,100,37,0,-29,100,-100,-100,-68,-21,-94,100,100,-100,4,23,-62,100,-45,100,96,0,-100,100,100,-10,-100
2022-10-19,74,-100,0,-60,53,-48,0,79,100,11,-68,-74,-100,66,-86,-87,87,22,100,41,100,-55,78,-23,0,-100,100,-29,-24,100
2022-10-20,47,23,0,-3,90,100,0,100,100,-11,-21,23,41,100,-21,-13,-100,57,49,76,-10,28,21,-68,0,-100,100,100,0,58
2022-10-21,50,-51,7,-68,100,91,0,53,100,33,37,-18,-100,-80,82,17,-100,15,62,0,100,86,100,51,0,-100,100,-100,0,-100
2022-10-24,-71,-100,22,-100,70,85,0,100,100,-5,-16,34,-100,-3,100,-8,-100,-37,95,100,100,95,100,-73,0,-100,65,-7,0,-100
2022-10-25,74,-100,-5,14,-43,-29,41,97,81,100,-93,-100,40,21,100,-9,-100,-29,-7,53,100,100,100,52,0,-79,66,100,0,39
2022-10-26,35,-100,46,-100,100,100,-41,100,100,100,-45,100,-35,52,100,0,-100,41,100,-51,70,68,55,100,0,-100,100,-100,0,100
2022-10-27,100,-100,-6,-100,100,100,0,25,100,11,-92,-26,79,53,75,0,-100,-28,-4,-100,100,17,100,18,0,-100,100,-40,0,-55
2022-10-28,-72,-100,-64,59,100,40,0,100,100,32,100,100,-100,100,100,35,0,1,-100,-100,99,-62,100,51,75,-100,100,-64,0,-48
2022-10-31,8,-100,100,72,100,-100,73,100,100,28,46,0,-24,-80,-46,62,-34,51,-49,31,100,100,100,100,100,-100,100,100,0,100
2022-11-01,-67,14,71,-100,-100,100,-73,100,100,51,11,-6,-91,51,-17,100,-100,39,100,36,100,-42,-17,65,-100,-100,100,100,23,100
2022-11-02,100,-100,-100,-100,100,100,0,100,100,-30,5,100,85,28,94,86,-66,46,-68,-45,100,100,100,-5,-75,-100,34,20,-23,100
2022-11-03,46,-25,85,29,100,100,0,100,100,-100,100,-100,72,60,63,-30,-100,-8,64,10,23,100,100,100,0,-100,49,100,0,63
2022-11-04,34,-100,68,-30,88,3,0,100,63,-39,31,-100,-100,-77,100,-30,-1,84,100,-3,100,33,75,24,0,-92,95,-16,0,-42
2022-11-07,94,-50,100,-100,100,-65,0,26,100,-3,58,-22,-100,41,36,28,-100,26,86,-93,100,26,-13,-30,0,-42,100,84,39,-100
2022-11-08,-66,69,-41,-100,85,32,25,100,100,100,-100,-9,-100,-45,100,3,44,100,87,-95,100,100,100,7,0,-72,100,100,-39,-22
2022-11-09,60,-100,-18,29,87,-100,-25,-32,100,-68,-71,-42,-27,87,100,-46,-100,11,93,100,100,100,100,12,0,-100,100,-100,0,-100
