account_value,date,daily_return
9555035636.09568,2023-12-14,
9518507065.1801,2023-12-15,-0.0038229654296200177
9471908556.744564,2023-12-18,-0.00489556903371946
9515379458.450174,2023-12-19,0.004589455382216112
9560516339.676033,2023-12-20,0.004743571333434726
9560065552.55983,2023-12-21,-4.715091739682098e-05
9532507985.436008,2023-12-22,-0.00288257093764821
9623518238.14983,2023-12-25,0.00954735656690442
9654166077.997343,2023-12-26,0.0031846814324119066
9660812829.195854,2023-12-27,0.000688485276181483
9682925334.307846,2023-12-28,0.0022888866085020165
9679853980.710575,2023-12-29,-0.00031719273785879576
9674247664.039255,2024-01-02,-0.0005791736820092153
9740192735.946575,2024-01-03,0.0068165581652874785
9761968370.453396,2024-01-04,0.0022356471886286755
9770168564.490284,2024-01-05,0.0008400144034175216
9758963487.591984,2024-01-08,-0.001146866282228265
9724825263.224926,2024-01-09,-0.0034981403927233368
9694888429.526085,2024-01-10,-0.0030783929673317
9712713685.544895,2024-01-11,0.0018386241521379798
9649732431.813465,2024-01-12,-0.006484413704602732
9646155823.063316,2024-01-15,-0.0003706433080317151
9740198463.833855,2024-01-16,0.009749235083440055
9731451327.044834,2024-01-17,-0.0008980450266490303
9741156721.858894,2024-01-18,0.0009973224432708871
9777045290.276144,2024-01-19,0.0036842204105715926
9803001640.175144,2024-01-22,0.0026548255764771156
9797105784.759283,2024-01-23,-0.0006014336865658443
9766013510.830643,2024-01-24,-0.0031736182717357897
9761195103.457575,2024-01-25,-0.000493385286404191
9788275195.417194,2024-01-26,0.002774259880332419
9753907258.315634,2024-01-29,-0.003511133107255815
9782658073.715284,2024-01-30,0.0029476203369822596
9684047903.133373,2024-01-31,-0.010080099890934946
9755516223.825874,2024-02-01,0.007380004870626067
9787479553.699804,2024-02-02,0.00327643654529175
9835417145.587765,2024-02-05,0.004897848483355283
9867906218.295013,2024-02-06,0.0033032734886921933
9900359933.762394,2024-02-07,0.00328881474442988
9937247004.805183,2024-02-15,0.0037258313121522058
9988448731.261232,2024-02-16,0.005152506165066573
10088480188.775925,2024-02-19,0.010014714016764126
10094539164.894672,2024-02-20,0.000600583636521268
10084196792.401985,2024-02-21,-0.0010245512275245394
10048669014.295895,2024-02-22,-0.00352311431812391
9884303396.985653,2024-02-23,-0.016356954047984318
9944407422.808504,2024-02-26,0.0060807548502792574
10083556377.159475,2024-02-27,0.01399268437371326
10255522419.796444,2024-02-28,0.01705410632963722
10310413111.547462,2024-02-29,0.005352305763094201
10386473128.832903,2024-03-01,0.007377009675805679
10417339031.026064,2024-03-04,0.002971740436845449
10508165647.849203,2024-03-05,0.008718792443312973
10425288007.518013,2024-03-06,-0.007886975054314349
10551308716.281513,2024-03-07,0.012087983437255811
10384581391.046415,2024-03-08,-0.015801577768056796
10245218510.886583,2024-03-11,-0.013420173130906377
10291574502.092854,2024-03-12,0.00452464641500927
10567444636.700851,2024-03-13,0.02680543531525692
10570012231.160095,2024-03-14,0.00024297212311163996
10510561195.565754,2024-03-15,-0.005624500170310243
10355915431.106552,2024-03-18,-0.014713368923102266
10349948016.722542,2024-03-19,-0.0005762324367853955
