account_rewards,date
-17390338.046844482,2022-10-14
82098866.78670502,2022-10-17
-25881641.998670578,2022-10-18
16512715.67048645,2022-10-19
-177387943.30589676,2022-10-20
-135621313.09667492,2022-10-21
62121415.09370136,2022-10-24
9235771.077421188,2022-10-25
158054949.9675026,2022-10-26
-29377219.494218826,2022-10-27
-12977655.80076027,2022-10-28
19854913.69146347,2022-10-31
-66080557.33937836,2022-11-01
31880307.753635406,2022-11-02
-96020914.8646717,2022-11-03
-85738773.86033726,2022-11-04
21824154.545163155,2022-11-07
-7031009.139359474,2022-11-08
-161036190.04733276,2022-11-09
41649171.026436806,2022-11-10
-5164469.331721306,2022-11-11
-1691706.278470993,2022-11-14
1726994.5608110428,2022-11-15
1699381.203277588,2022-11-16
1536504.9189653397,2022-11-17
-634828.4369268417,2022-11-18
1073295.6840171814,2022-11-21
-2558844.444132805,2022-11-22
-280492.94337654114,2022-11-23
5222503.931838989,2022-11-24
6453594.955134392,2022-11-25
6644691.511844635,2022-11-28
6227186.782558441,2022-11-29
-722567.4806232452,2022-11-30
13881801.331237793,2022-12-01
10137928.074640274,2022-12-02
-13210256.969926834,2022-12-05
-2748400.7785539627,2022-12-06
6950605.741390228,2022-12-07
3691261.467973709,2022-12-08
-9355604.322520256,2022-12-09
5666027.96049118,2022-12-12
1675271.5809602737,2022-12-13
2580912.9186201096,2022-12-14
1262310.3976430893,2022-12-15
-9575613.670994759,2022-12-16
-9718931.551966667,2022-12-19
-4580780.469816208,2022-12-20
6155072.98397541,2022-12-21
-3600230.306786537,2022-12-22
-27498112.298804283,2022-12-23
19370748.944334984,2022-12-26
6039197.7039346695,2022-12-27
-2669834.7858600616,2022-12-28
-5644020.437968254,2022-12-29
24055281.75030613,2022-12-30
635468.5969257355,2023-01-03
8137168.09203434,2023-01-04
-4214383.15184021,2023-01-05
189510.85427761078,2023-01-06
-2602994.2735128403,2023-01-09
2423641.036602974,2023-01-10
