date,BVH,CTG,DIG,DXG,EIB,FPT,HAG,HCM,HPG,HQC,HSG,HUT,ITA,KBC,KDH,MBB,MSN,NVB,PDR,PVD,PVS,REE,SBT,SHS,SSI,STB,TTF,VCB,VIC,VNM
2023-10-18,-27,95,100,-20,-31,-86,-85,-25,-76,-98,-100,54,-47,100,61,75,-84,100,51,-34,39,13,100,-77,-39,60,32,92,-4,100
2023-10-19,-96,56,-100,16,43,-100,-29,43,11,-4,-100,-100,92,-29,-12,-89,-19,-87,0,-48,-72,-100,89,-100,-61,100,30,-100,-1,36
2023-10-20,3,80,-79,15,-21,100,-18,-86,100,18,-100,49,34,-42,43,92,26,-51,77,-12,100,78,100,-40,10,58,-75,4,-100,-56
2023-10-23,100,12,12,-100,-100,100,-8,-84,-10,74,-100,88,-2,37,-10,89,-61,90,100,-100,-7,76,14,-100,-3,2,90,-60,63,-100
2023-10-24,100,44,100,-2,58,-65,8,-100,27,75,18,-100,-80,76,11,-65,54,100,16,51,25,-35,40,100,-17,-94,100,100,73,-15
2023-10-25,-100,100,30,-26,-37,84,-19,-28,-100,-59,-100,-63,-100,100,29,-70,-88,-29,0,64,-100,-86,66,-6,-100,-12,100,-100,-49,100
2023-10-26,-33,9,-6,87,100,22,-100,21,17,100,-100,100,-21,-47,100,-99,-88,-56,-27,100,27,-100,-100,97,-54,23,100,100,-42,-54
2023-10-27,-31,-100,-58,-14,100,65,67,-33,-100,-100,-100,-4,100,70,-100,5,61,11,-15,-68,-100,50,100,100,-48,8,24,-85,-94,100
2023-10-30,100,51,11,71,100,6,-59,100,9,-100,-59,-22,-34,100,100,-18,-15,14,-17,-25,100,-38,100,56,-52,-59,-44,-100,3,20
2023-10-31,17,34,-11,-53,-45,88,20,-100,0,100,-100,-11,48,62,-35,1,-48,75,-85,100,35,87,-42,19,100,100,56,0,-100,50
2023-11-01,67,55,-68,-100,42,-100,-12,-32,-100,59,52,-41,42,-100,92,-100,-100,-15,100,-17,-30,100,23,-100,40,-100,45,17,-61,15
2023-11-02,-100,20,100,11,91,2,-15,-100,-52,-35,-6,-100,100,-100,-62,-100,-17,-32,13,100,-50,-1,-88,45,-4,-20,-100,88,-13,-20
2023-11-03,-38,79,-59,-100,95,-27,-100,-100,100,-100,50,88,-20,73,-100,9,65,81,77,-58,-73,-23,100,-28,10,-87,24,18,-100,100
2023-11-06,-67,1,100,69,-69,-47,-4,8,-100,-32,-86,100,8,100,-1,-86,16,100,100,-83,-18,-100,-55,100,38,100,-2,0,69,100
2023-11-07,-100,-94,100,-60,-60,-31,100,-49,60,88,-82,1,-76,100,0,-55,-100,52,20,-43,-14,-50,-35,-35,-61,-55,-85,-100,-42,-79
2023-11-08,-98,1,29,-39,76,81,88,-100,-49,32,-31,-81,85,100,100,-16,-33,13,97,77,24,33,-100,-95,-54,100,-86,-100,22,-100
2023-11-09,-51,-85,-21,-58,82,-86,100,-100,-100,-95,-100,-17,-28,-46,64,-100,100,12,100,100,-100,100,1,-100,49,-100,-100,100,100,13
2023-11-10,44,15,-91,-8,-100,62,-15,100,-9,-25,24,100,54,100,78,-100,-25,100,-35,100,-95,100,-48,-27,-35,64,14,99,-100,-100
2023-11-13,71,-44,-100,31,-47,6,100,-100,-31,0,55,-100,-26,-87,31,-100,100,-100,100,-1,-100,-94,-41,4,-51,-100,21,66,-86,-100
2023-11-14,-100,93,36,-13,100,-25,-20,-53,32,55,-4,-23,100,-53,80,38,6,13,100,-57,-100,-71,-12,-9,49,-25,5,25,-16,100
2023-11-15,-70,97,20,-34,-100,74,45,-89,-20,30,93,-100,100,100,86,-1,-22,36,58,89,-96,-100,86,12,26,18,-100,-28,-100,24
2023-11-16,-100,-29,93,-82,0,82,4,-60,-100,-57,-100,-100,0,32,4,0,0,100,-55,-100,20,17,51,-84,22,-39,-58,22,100,70
2023-11-17,-32,8,-21,100,100,-44,100,-100,-65,-28,100,-36,-100,100,100,-45,-24,-48,-100,82,80,100,-13,100,-99,100,9,83,-89,56
2023-11-20,-19,100,77,21,-100,100,100,-2,-100,0,72,0,-100,30,-9,-100,-68,79,-7,-82,-100,56,17,39,100,30,100,79,-88,-100
2023-11-21,-100,78,-13,-33,0,26,-82,1,-100,100,-3,0,-100,-100,100,-100,-16,-100,27,100,0,90,66,67,-29,-8,100,-88,64,-48
2023-11-22,100,-44,19,-100,-70,-61,80,-44,-100,-16,-50,18,21,-78,-100,-100,94,64,-63,100,0,71,-100,-100,-100,-100,100,100,50,-82
2023-11-23,21,100,-100,39,-11,-48,100,-59,-44,46,-30,-18,58,82,100,-100,-18,-54,-100,-100,0,-100,-13,-66,-14,-19,-84,100,-65,100
2023-11-24,0,29,-100,15,-52,-100,12,-16,51,-43,-17,0,-5,34,-100,-73,94,59,100,-100,0,-58,47,97,23,-100,-100,100,-64,16
2023-11-27,-100,-100,24,22,79,100,-45,60,-100,41,-23,0,61,100,12,-34,-100,97,98,34,0,100,-68,100,-100,-47,8,100,39,62
2023-11-28,15,-90,7,-98,-75,-100,18,29,100,-100,15,0,-26,67,100,-7,-90,11,100,46,0,100,-100,-100,76,35,-100,40,-26,-2
2023-11-29,-100,40,100,100,100,-24,-42,100,60,12,-10,0,100,76,-100,-100,-29,23,100,78,100,12,83,27,12,-100,100,31,-30,100
2023-11-30,-11,-83,46,-100,-36,-23,-100,-19,-83,40,-67,63,-2,100,-44,-100,-100,-32,-4,87,-86,40,65,-100,-5,-87,-100,-100,93,-45
2023-12-01,-100,-14,67,-100,-93,100,-96,89,94,-3,81,20,100,4,-31,92,40,99,92,100,19,-9,14,75,100,-100,87,30,-92,90
