account_rewards,date
-552090.05884552,2019-04-08
-538887.6043109894,2019-04-09
560813.2525482178,2019-04-10
-456652.1108264923,2019-04-11
-863673.5991401672,2019-04-12
-2271069.561351776,2019-04-16
-2460746.371334076,2019-04-17
1327112.3149871826,2019-04-18
883587.3808727264,2019-04-19
1405213.6273403168,2019-04-22
3567156.2789707184,2019-04-23
-1507120.6205120087,2019-04-24
753812.4921398163,2019-04-25
-989944.7166461945,2019-04-26
-2219341.962146759,2019-05-02
-7930953.280797958,2019-05-03
509386.4337749481,2019-05-06
-1130925.6899166107,2019-05-07
839772.3337955475,2019-05-08
2393211.526189804,2019-05-09
448446.98777389526,2019-05-10
4255880.540584564,2019-05-13
8529967.935163498,2019-05-14
4199190.709926605,2019-05-15
-924271.4752254486,2019-05-16
8550033.357837677,2019-05-17
-2058685.3335762024,2019-05-20
-2199414.19830513,2019-05-21
858712.8276939392,2019-05-22
-15695684.303670883,2019-05-23
2069315.175523758,2019-05-24
-762958.2325401306,2019-05-27
-501895.4073295593,2019-05-28
194443.0162372589,2019-05-29
-13749648.912994385,2019-05-30
-10872557.00419426,2019-05-31
1893576.6127796173,2019-06-03
2650975.470674515,2019-06-04
-1810617.3874607086,2019-06-05
13414790.569992065,2019-06-06
7073971.985750198,2019-06-07
66217.16614341736,2019-06-10
-12619564.05308342,2019-06-11
-2475041.201143265,2019-06-12
6221316.012084961,2019-06-13
-7178063.760242462,2019-06-14
894347.4738101959,2019-06-17
15943750.17739296,2019-06-18
15838459.576757431,2019-06-19
-7019885.708124161,2019-06-20
15204905.053560257,2019-06-21
-2781827.770324707,2019-06-24
-7331257.81728363,2019-06-25
-19129498.39263153,2019-06-26
8909132.584253311,2019-06-27
19949169.298257828,2019-06-28
-15620699.792835236,2019-07-01
-12089894.132062912,2019-07-02
25415933.434577942,2019-07-03
384591.2623939514,2019-07-04
-15063701.123048782,2019-07-05
4902859.95442009,2019-07-08
