account_rewards,date
-69202089.157547,2023-03-17
6922265.687128067,2023-03-20
14972621.85595131,2023-03-21
7244034.227075577,2023-03-22
-7117016.794635773,2023-03-23
8986611.11153984,2023-03-24
6837178.238548279,2023-03-27
19589518.299995422,2023-03-28
3426967.2155971527,2023-03-29
-10049074.640289307,2023-03-30
38820311.20110512,2023-03-31
8904366.983194351,2023-04-03
17001586.81850624,2023-04-04
-29013317.51342392,2023-04-05
6538128.911043167,2023-04-06
-11995083.874258041,2023-04-07
15688938.131631851,2023-04-10
15551294.430631638,2023-04-11
-13744474.753892899,2023-04-12
-45243036.06464577,2023-04-13
-7742444.2258377075,2023-04-14
18170266.87747383,2023-04-17
-14921320.488494873,2023-04-18
-6864024.882493973,2023-04-19
-29241228.87976837,2023-04-20
-24784455.44039154,2023-04-21
-26358372.461135864,2023-04-24
24080083.573179245,2023-04-25
6328758.843708038,2023-04-26
31520263.191267014,2023-04-27
-44902526.656360626,2023-04-28
23607480.791698456,2023-05-04
46046018.644369125,2023-05-05
1757563.7014446259,2023-05-08
11386335.21818924,2023-05-09
8146240.994371414,2023-05-10
16371554.711076736,2023-05-11
-22414563.061084747,2023-05-12
9012036.131790161,2023-05-15
-29334751.426218033,2023-05-16
9775522.333753586,2023-05-17
5639943.743537903,2023-05-18
2495364.8067741394,2023-05-19
-26903405.061279297,2023-05-22
1390872.908985138,2023-05-23
13285682.685050964,2023-05-24
2089421.9364013672,2023-05-25
10892257.195922852,2023-05-26
16930534.9379673,2023-05-29
-7540942.566560745,2023-05-30
8079407.00651741,2023-05-31
23692196.37616539,2023-06-01
33249251.585521698,2023-06-02
8694585.36423111,2023-06-05
24667307.336107254,2023-06-06
-36816395.374261856,2023-06-07
24459190.933877945,2023-06-08
32030827.5905571,2023-06-09
22416951.04091835,2023-06-12
-19457592.21149826,2023-06-13
-4883605.929382324,2023-06-14
-12350919.101522446,2023-06-15
