date,BVH,CTG,DIG,DXG,EIB,FPT,HAG,HCM,HPG,HQC,HSG,HUT,ITA,KBC,KDH,MBB,MSN,NVB,PDR,PVD,PVS,REE,SBT,SHS,SSI,STB,TTF,VCB,VIC,VNM
2021-07-13,-100,0,-100,100,-100,100,100,-100,-100,-100,-100,-100,-100,-100,100,100,100,-100,100,100,100,100,-100,-100,100,-100,-100,-67,100,-100
2021-07-14,-64,0,-100,100,-100,100,100,-92,-100,-100,-100,-100,-100,-100,100,100,100,-100,100,100,100,100,-100,-8,100,-100,-100,0,100,-100
2021-07-15,0,0,-100,100,-100,100,100,0,-100,-100,-20,-100,-100,-100,100,100,100,-100,100,100,100,100,-100,0,100,-100,-100,0,100,-26
2021-07-16,0,0,-100,100,-100,100,100,0,-100,-100,0,-100,-9,-100,100,100,100,-100,100,100,100,100,-100,0,100,-100,-100,0,100,0
2021-07-19,0,0,-100,100,-100,100,100,0,-50,-100,0,-100,0,-100,100,100,100,-100,100,100,100,100,-84,0,100,-3,-74,0,100,0
2021-07-20,0,0,-17,100,-23,100,100,0,0,-100,0,-100,0,-100,100,100,100,-100,100,100,100,100,0,0,100,0,0,0,100,0
2021-07-21,0,0,0,100,0,100,100,0,0,-51,0,-100,0,-100,100,100,100,-100,100,100,100,100,0,0,100,0,0,0,100,0
2021-07-22,0,0,0,100,0,100,100,0,0,0,0,-91,0,-100,100,100,100,-65,100,100,100,100,0,0,100,0,0,0,100,0
2021-07-23,0,0,0,100,0,100,100,0,0,0,0,0,0,-100,100,100,100,0,100,100,100,100,0,0,100,0,0,0,100,0
2021-07-26,0,0,0,100,0,100,100,0,0,0,0,0,0,-100,100,100,100,0,100,100,100,100,0,0,100,0,0,0,100,0
2021-07-27,0,0,0,100,0,100,100,0,0,0,0,0,0,-57,100,100,100,0,100,100,100,100,0,0,100,0,0,0,100,0
2021-07-28,0,0,0,100,0,100,100,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0,100,0,0,0,100,0
2021-07-29,0,0,0,100,0,100,100,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0,100,0,0,0,100,0
2021-07-30,0,0,0,100,0,100,100,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0,100,0,0,0,100,0
2021-08-02,0,0,0,100,0,100,100,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0,100,0,0,0,100,0
2021-08-03,0,0,0,100,0,100,100,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0,100,0,0,0,100,0
2021-08-04,0,0,0,100,0,100,100,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0,100,0,0,0,100,0
2021-08-05,0,0,0,100,0,100,100,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0,100,0,0,0,100,0
