date,BVH,CTG,DIG,DXG,EIB,FPT,HAG,HCM,HPG,HQC,HSG,HUT,ITA,KBC,KDH,MBB,MSN,NVB,PDR,PVD,PVS,REE,SBT,SHS,SSI,STB,TTF,VCB,VIC,VNM
2022-12-12,34,95,63,23,100,-100,-100,0,48,-100,0,52,100,100,100,100,100,100,0,100,10,0,-100,-100,-4,0,88,51,0,100
2022-12-13,-34,62,15,-23,100,-100,-100,0,-45,-100,0,100,100,-100,100,100,100,-4,0,100,-10,100,-100,-100,44,0,100,100,0,100
2022-12-14,0,100,21,100,100,-100,-100,0,-85,-100,0,100,100,0,100,100,100,100,0,100,0,-100,-100,-56,10,0,100,100,0,100
2022-12-15,100,100,100,100,100,-100,-100,0,100,-100,0,100,85,0,100,100,100,100,0,100,24,0,-100,-100,-47,62,100,-43,0,100
2022-12-16,-59,100,-33,100,100,-100,-100,100,50,-100,47,-81,100,81,100,100,100,100,0,100,-24,100,-100,-98,-12,56,-3,-95,0,100
2022-12-19,57,100,100,100,37,-100,-100,3,-32,-100,-9,100,100,100,100,100,100,100,0,78,0,-100,-100,-100,-100,100,100,100,0,100
2022-12-20,-81,-1,75,100,100,-100,-100,-100,51,-100,-38,26,100,-61,100,100,100,6,0,100,0,0,-100,-11,-100,36,100,79,0,100
2022-12-21,-17,100,100,90,45,-100,-100,-3,19,-100,0,100,100,100,100,100,100,100,0,100,0,55,-100,-100,-100,-64,100,-100,0,100
2022-12-22,0,100,100,100,100,-100,-100,0,65,-100,0,100,100,-57,100,100,100,-51,0,100,0,-18,-100,49,-100,61,86,-56,0,100
2022-12-23,0,100,100,100,-38,-100,-100,0,100,-100,0,100,100,-100,100,100,100,100,0,100,35,-37,-100,29,-100,-100,100,100,0,100
2022-12-26,100,-80,-73,100,83,-100,-100,0,83,-100,0,100,100,-22,100,63,100,100,0,100,-35,0,-100,-33,65,-6,100,100,0,100
2022-12-27,45,100,-25,80,-62,-100,-100,0,100,-100,0,100,100,3,100,100,100,-42,0,100,0,0,-100,-100,-35,-21,100,29,0,100
2022-12-28,-68,100,69,100,-26,-100,-100,0,100,-100,0,100,100,-44,100,100,100,61,0,100,0,64,-100,-100,-100,33,100,-63,0,100
2022-12-29,-70,100,65,100,0,-100,-100,0,-10,-100,0,100,37,56,100,100,100,100,0,100,0,100,-44,-83,-100,43,100,-100,0,100
2022-12-30,74,100,29,100,100,-100,-100,0,47,-100,0,100,100,-56,100,100,100,24,0,100,0,76,-100,39,-97,38,23,100,0,100
2023-01-03,-33,100,56,100,100,-100,-100,0,49,-100,0,100,100,17,100,100,100,100,0,100,39,100,0,16,-100,84,-28,100,0,100
2023-01-04,-48,25,100,100,94,-100,-100,4,100,-100,0,100,100,-17,100,100,100,-13,0,100,-39,-100,-100,-97,-100,-91,100,32,0,100
2023-01-05,0,100,100,100,36,-100,-100,46,100,-100,95,100,100,0,100,67,100,100,0,100,9,-100,-100,-53,-95,-88,100,28,0,100
2023-01-06,8,100,69,100,5,-100,-100,-50,-100,-100,-74,100,100,0,100,100,100,19,0,100,-9,42,-100,-44,-100,37,100,32,0,100
2023-01-09,50,100,100,100,51,0,0,0,-45,0,5,100,100,0,100,100,100,100,0,100,0,48,-100,-16,100,67,100,100,36,100
2023-01-10,-58,100,82,100,67,0,0,0,12,0,-26,100,100,52,100,100,100,100,0,100,0,55,-56,-100,69,100,26,74,-36,100
2023-01-11,0,7,100,100,70,0,0,0,100,0,0,100,100,-52,100,100,16,100,0,100,0,-93,0,-100,-100,-2,-52,57,0,100
2023-01-12,0,100,43,100,100,0,0,100,65,0,0,100,100,33,100,100,100,100,0,100,0,-100,0,-38,-53,-13,77,100,0,100
2023-01-13,0,-39,100,100,75,0,0,-97,100,0,0,-74,100,-33,100,100,100,100,0,100,0,-21,0,-100,-26,100,-53,100,0,100
2023-01-16,0,82,100,100,-17,0,0,-3,-19,0,0,100,100,66,100,100,100,100,0,100,1,-71,0,-100,-100,-100,100,100,0,100
2023-01-17,0,100,84,100,100,0,0,0,100,0,0,100,100,-66,100,100,94,100,0,100,-1,0,0,-100,100,14,100,100,0,100
2023-01-18,0,100,100,100,52,0,0,0,-50,0,0,100,100,13,100,51,100,100,0,100,0,100,0,-97,-39,-58,100,-100,0,100
2023-01-19,0,100,100,100,100,0,0,0,69,0,0,100,100,-13,100,100,100,100,0,100,0,-30,0,-12,-100,4,83,100,0,100
