account_rewards,date
-12372891.446546555,2021-04-12
2626934.9858779907,2021-04-13
-13796792.993635178,2021-04-14
581841.4057407379,2021-04-15
22377536.251449585,2021-04-16
-847209.2672519684,2021-04-19
-46684820.76011276,2021-04-20
27010799.027448654,2021-04-22
-7112406.928899765,2021-04-23
-6486753.542331696,2021-04-26
6265166.250469208,2021-04-27
1420497.3900375366,2021-04-28
9103267.35621643,2021-04-29
-1366965.6675109863,2021-05-04
-64718.308544158936,2021-05-05
-591025.710308075,2021-05-06
1397055.3379039764,2021-05-07
-103213.7375240326,2021-05-10
1052208.3352890015,2021-05-11
-526895.3642539978,2021-05-12
-107724.33502960205,2021-05-13
-898644.7827472687,2021-05-14
-60479.629304885864,2021-05-17
810322.9206371307,2021-05-18
1554890.609638214,2021-05-19
-219090.4960422516,2021-05-20
374238.01894950867,2021-05-21
243894.43514823914,2021-05-24
169701.943857193,2021-05-25
-668499.5495071411,2021-05-26
2114910.2299671173,2021-05-27
1931312.8952159882,2021-05-28
-360289.817401886,2021-05-31
-132469.30346107483,2021-06-01
2595531.643339157,2021-06-02
769036.6265010834,2021-06-03
-1792045.7517032623,2021-06-04
-6160250.577863693,2021-06-07
1305501.420988083,2021-06-08
-3209077.551296234,2021-06-09
4448963.367660522,2021-06-10
3107599.545890808,2021-06-11
2602932.966278076,2021-06-14
-2382902.313402176,2021-06-15
2956324.0161037445,2021-06-16
502221.31870651245,2021-06-17
-1670489.2303390503,2021-06-18
671581.6820011139,2021-06-21
-1838242.0032920837,2021-06-22
-358372.34463119507,2021-06-23
3233581.7423648834,2021-06-24
2160337.222448349,2021-06-25
763633.6305065155,2021-06-28
-2180282.780439377,2021-06-29
2310523.162870407,2021-06-30
213408.62997627258,2021-07-01
-5251431.501346588,2021-07-02
-14864049.146446228,2021-07-05
3565720.271057129,2021-07-06
-3063250.2745342255,2021-07-07
-8530514.735054016,2021-07-08
-7553226.991289139,2021-07-09
