account_rewards,date
-33817099.40081024,2023-04-18
-3179466.8687229156,2023-04-19
-22616226.699285507,2023-04-20
-19861092.14543152,2023-04-21
-19741648.10450554,2023-04-24
30889321.21135235,2023-04-25
-2628241.120467186,2023-04-26
48441974.96229935,2023-04-27
-14690436.512269974,2023-04-28
-602376.9896297455,2023-05-04
58594853.75284004,2023-05-05
13339768.986131668,2023-05-08
20218557.68696785,2023-05-09
2708892.6174077988,2023-05-10
49030984.20975399,2023-05-11
-24831788.830945015,2023-05-12
16647611.866682053,2023-05-15
-43802490.17994499,2023-05-16
31872055.425887108,2023-05-17
15288696.073501587,2023-05-18
24042960.868810654,2023-05-19
-3381275.1366739273,2023-05-22
-33590967.538435936,2023-05-23
9275989.812295914,2023-05-24
3508353.282966614,2023-05-25
58305491.23087311,2023-05-26
18707067.49627304,2023-05-29
-7627209.241830826,2023-05-30
24695044.528921127,2023-05-31
36451107.25392628,2023-06-01
34062651.09546757,2023-06-02
51489987.349160194,2023-06-05
16074511.379527092,2023-06-06
-52682561.10910416,2023-06-07
30414990.677009583,2023-06-08
24832933.89599991,2023-06-09
45141686.61120987,2023-06-12
-32751535.086601257,2023-06-13
-4080932.873026848,2023-06-14
22929086.542544365,2023-06-15
-40347915.479104996,2023-06-16
37685376.217609406,2023-06-19
49452325.193294525,2023-06-20
36450115.557294846,2023-06-21
150636.56906318665,2023-06-22
13736840.825716019,2023-06-23
23032629.83331871,2023-06-26
21508374.0302639,2023-06-27
-70075705.48687744,2023-06-28
-10577659.510166168,2023-06-29
-794556.3992671967,2023-06-30
44654571.24236107,2023-07-03
18041858.60805893,2023-07-04
-34902354.92580223,2023-07-05
87873391.5527134,2023-07-06
14817970.07129097,2023-07-07
1904326.0741996765,2023-07-10
18545743.846305847,2023-07-11
49495138.13020134,2023-07-12
54000756.51301575,2023-07-13
42694631.93859482,2023-07-14
-26594245.46818924,2023-07-17
