account_rewards,date
15966362.945404053,2023-07-19
91220812.62946892,2023-07-20
11967524.551481247,2023-07-21
36264048.083782196,2023-07-24
52704780.32534981,2023-07-25
23138566.839796066,2023-07-26
46522142.54218674,2023-07-27
44211677.10874939,2023-07-28
-75134440.66372299,2023-07-31
25644661.673919678,2023-08-01
-36499511.09051323,2023-08-02
79717679.12511253,2023-08-03
74528617.47273254,2023-08-04
-8393279.95986557,2023-08-07
-31462589.911701202,2023-08-08
-67275064.66769028,2023-08-09
106700686.02663612,2023-08-10
56780350.81325722,2023-08-11
-282257.8348236084,2023-08-14
67888671.29569244,2023-08-15
-40738676.52106094,2023-08-16
-260661504.0446434,2023-08-17
-5302241.293102264,2023-08-18
21919770.911554337,2023-08-21
-51032646.07095528,2023-08-22
156392075.00813293,2023-08-23
-8229929.641548157,2023-08-24
150554248.83887863,2023-08-25
20070403.068660736,2023-08-28
106111084.32907104,2023-08-29
46355436.18165398,2023-08-30
34187534.57029343,2023-08-31
90179641.17783356,2023-09-05
-37921945.32452965,2023-09-06
7919420.576793671,2023-09-07
-116069043.46574211,2023-09-08
153518401.46577263,2023-09-11
-64387113.63125038,2023-09-12
-116386513.7581234,2023-09-13
36476777.50876236,2023-09-14
-56490525.3932724,2023-09-15
16487732.42940712,2023-09-18
86436935.3888874,2023-09-19
-104200621.86351776,2023-09-20
-152045975.83464432,2023-09-21
-255636025.9503708,2023-09-22
-74029423.8450756,2023-09-25
132174282.81062508,2023-09-26
-34029404.56281662,2023-09-27
-17113348.220788956,2023-09-28
5057164.7912483215,2023-09-29
-220683923.6862812,2023-10-02
59597640.44031525,2023-10-03
-109083731.40111923,2023-10-04
89832372.38536644,2023-10-05
76755617.09774399,2023-10-06
37019428.26987457,2023-10-09
64694970.70342636,2023-10-10
5231544.664348602,2023-10-11
23105537.707605362,2023-10-12
-76083357.1625824,2023-10-13
-194856537.84547043,2023-10-16
