account_rewards,date
-377216.52296066284,2020-07-10
91761.87275314331,2020-07-13
225014.7806224823,2020-07-14
162688.42794418335,2020-07-15
-449323.2067642212,2020-07-16
-1479812.4035491943,2020-07-17
324211.3806247711,2020-07-20
-1371895.3506622314,2020-07-21
-1436022.8224048615,2020-07-22
-7073838.440341949,2020-07-23
-11156949.479608536,2020-07-24
7972313.925348282,2020-07-27
-4096914.220275879,2020-07-28
97140.13328170776,2020-07-29
-4032062.100967407,2020-07-30
7793124.755525589,2020-07-31
7175202.584945679,2020-08-03
3275683.9790096283,2020-08-04
-1293614.9657802582,2020-08-05
1361400.7219486237,2020-08-06
598415.8764896393,2020-08-07
2500645.253068924,2020-08-10
307075.0454273224,2020-08-11
3358670.0818862915,2020-08-12
-2280343.062953949,2020-08-13
2388092.916662216,2020-08-14
-1442129.6205482483,2020-08-17
2608347.6309871674,2020-08-18
-677095.5235233307,2020-08-19
7500804.871870041,2020-08-20
4895314.288455963,2020-08-21
953653.9248218536,2020-08-24
955709.7140769958,2020-08-25
4021587.066253662,2020-08-26
1433470.6618099213,2020-08-27
-5183263.8424835205,2020-08-28
5591614.521812439,2020-08-31
9849235.07564354,2020-09-01
987748.6499099731,2020-09-03
-6432844.433822632,2020-09-04
5667060.399940491,2020-09-07
1040413.8046264648,2020-09-08
1798997.9970722198,2020-09-09
6937139.9640369415,2020-09-10
7490842.044727325,2020-09-11
2089925.4701519012,2020-09-14
5583220.864862442,2020-09-15
-3278696.370103836,2020-09-16
12954234.090356827,2020-09-17
7190148.784910202,2020-09-18
13195239.618938446,2020-09-21
6617697.910715103,2020-09-22
4362085.289989471,2020-09-23
-1888813.6135578156,2020-09-24
22094476.53334427,2020-09-25
-20705643.84758377,2020-09-28
4741410.563751221,2020-09-29
14423401.619409561,2020-09-30
-7530339.107587814,2020-10-01
9773011.785715103,2020-10-02
10487290.269489288,2020-10-05
-6058382.457038879,2020-10-06
