account_rewards,date
-4836912.392421722,2021-10-12
1711229.5550422668,2021-10-13
-15363804.550281525,2021-10-14
40562008.233198166,2021-10-15
-14697642.932863235,2021-10-18
12713232.259904861,2021-10-19
-23147794.328804016,2021-10-20
27724914.52386284,2021-10-21
-7629184.036453247,2021-10-22
-2638462.90883255,2021-10-25
115902003.74150085,2021-10-26
30167860.642263412,2021-10-27
696879.6106910706,2021-10-28
-77100955.67389488,2021-10-29
42913928.11580849,2021-11-01
-47352686.68385506,2021-11-02
8587242.713474274,2021-11-03
31937772.000289917,2021-11-04
47074614.73646164,2021-11-05
-18914239.580163956,2021-11-08
306016.21406555176,2021-11-09
51381.26867866516,2021-11-10
35720666.54668617,2021-11-11
26493821.063447952,2021-11-12
-23758813.349302292,2021-11-15
7158566.2147426605,2021-11-16
-36630755.68216133,2021-11-17
-61086633.607746124,2021-11-18
-46791215.963186264,2021-11-19
103515955.38471985,2021-11-22
39749710.91078377,2021-11-23
52698193.28047371,2021-11-24
3745490.4135665894,2021-11-25
25100243.259569168,2021-11-26
13181171.143247604,2021-11-29
15965214.556480408,2021-11-30
2908337.733745575,2021-12-01
-84742734.68583298,2021-12-02
-43088095.23702812,2021-12-03
94306627.57645988,2021-12-06
-518748.90406417847,2021-12-07
73491635.62756729,2021-12-08
-36909423.88912964,2021-12-09
45098126.65350723,2021-12-10
-41234937.882427216,2021-12-13
-5653771.027418137,2021-12-14
29781155.390333176,2021-12-15
3742878.5383434296,2021-12-16
-7224505.559085846,2021-12-17
38158684.629564285,2021-12-20
23545612.299556732,2021-12-21
-29658639.24075699,2021-12-22
18888944.87403488,2021-12-23
30319479.237146378,2021-12-24
9417268.790460587,2021-12-27
-17466799.338241577,2021-12-28
10234837.225524902,2021-12-29
-19009955.442367554,2021-12-30
76663927.45396805,2021-12-31
-44568973.64109802,2022-01-04
-3818520.751028061,2022-01-05
-6636823.441438675,2022-01-06
