account_rewards,date
-2908015.1812820435,2021-07-13
1808663.5825195312,2021-07-14
5982516.737108231,2021-07-15
-13835802.693738937,2021-07-16
8247197.06930542,2021-07-19
-1296300.9678668976,2021-07-20
12058246.546707153,2021-07-21
-13238546.642604828,2021-07-22
8102350.843154907,2021-07-23
8226940.408321381,2021-07-26
-1501485.8849143982,2021-07-27
11462576.936944962,2021-07-28
19535568.990406036,2021-07-29
5608078.4425525665,2021-07-30
18979813.491710663,2021-08-02
-2515350.9921913147,2021-08-03
3155449.9160461426,2021-08-04
-3741275.2568626404,2021-08-05
22605698.625930786,2021-08-06
-412551.71456336975,2021-08-09
-19172144.654024124,2021-08-10
-10561159.629224777,2021-08-11
2988053.1721076965,2021-08-12
11034253.993005753,2021-08-13
-1716663.328968048,2021-08-16
6713973.578802109,2021-08-17
25194509.98228073,2021-08-18
-56403068.288993835,2021-08-19
-57327253.52623558,2021-08-20
10466105.287582397,2021-08-23
24447633.269268036,2021-08-24
-13388427.951450348,2021-08-25
33711999.868206024,2021-08-26
-1176556.5309085846,2021-08-27
20129984.263822556,2021-08-30
-13044285.326730728,2021-08-31
11268566.586780548,2021-09-01
-37855798.22714996,2021-09-06
-5986769.569765091,2021-09-07
14745040.163007736,2021-09-08
-9333936.488428116,2021-09-09
1353969.8289203644,2021-09-10
12931020.19106865,2021-09-13
53738894.26084709,2021-09-14
9650578.892507553,2021-09-15
-11850687.614952087,2021-09-16
-16862545.32529068,2021-09-17
-5973708.083398819,2021-09-20
26495821.60449791,2021-09-21
-10586430.232538223,2021-09-22
-23769398.447914124,2021-09-23
-78230541.1129303,2021-09-24
48753532.118097305,2021-09-27
21319397.84422493,2021-09-28
25836600.186800003,2021-09-29
-9336321.626773834,2021-09-30
25259955.190582275,2021-10-01
20893864.125652313,2021-10-04
21475884.081855774,2021-10-05
10145948.429088593,2021-10-06
53013972.851200104,2021-10-07
52824418.13317299,2021-10-08
