account_rewards,date
-92589708.4984951,2022-01-10
17914219.005313873,2022-01-11
-44591044.44169235,2022-01-12
8791728.745019913,2022-01-13
-126266800.3263073,2022-01-14
-36994148.76531029,2022-01-17
63382201.05348778,2022-01-18
46815912.29904938,2022-01-19
32363796.23142433,2022-01-20
-175127750.12948227,2022-01-21
137213023.80900192,2022-01-24
-39050068.022987366,2022-01-25
-15567479.901662827,2022-01-26
24676327.61194229,2022-01-27
37683775.55370712,2022-01-28
-32578769.25084877,2022-02-07
16082913.960466385,2022-02-08
19029270.83812332,2022-02-09
-10759264.35959816,2022-02-10
-18228806.920259476,2022-02-11
123001818.33916855,2022-02-14
25948619.360183716,2022-02-15
64917731.31199074,2022-02-16
11855180.69124031,2022-02-17
15931569.28150177,2022-02-18
-50219319.50523186,2022-02-21
87741416.39640236,2022-02-22
11275796.644966125,2022-02-23
-5777473.145706177,2022-02-24
-18061498.947015762,2022-02-25
24613520.116609573,2022-02-28
6559826.400648117,2022-03-01
69939239.9027977,2022-03-02
27509296.76510048,2022-03-03
-22090754.742456436,2022-03-04
-72100876.37508202,2022-03-07
-25929863.75864029,2022-03-08
-34830604.571697235,2022-03-09
-100161183.77075958,2022-03-10
-97644162.25175476,2022-03-11
61044317.24839783,2022-03-14
25226336.992523193,2022-03-15
-34287147.52251434,2022-03-16
66653241.899692535,2022-03-17
186533003.05986786,2022-03-18
89103112.59454346,2022-03-21
-11051772.744483948,2022-03-22
1808109.65524292,2022-03-23
-14970124.715652466,2022-03-24
-36526154.75478363,2022-03-25
120636013.93893623,2022-03-28
-73519514.24558449,2022-03-29
-43813037.02436066,2022-03-30
145665142.18391418,2022-03-31
2244460.005344391,2022-04-01
-21201612.784395218,2022-04-04
32859558.73039627,2022-04-05
-120788360.08916283,2022-04-06
-118784003.4901619,2022-04-07
-151567559.07609177,2022-04-08
165402949.75343323,2022-04-12
-68243912.08853912,2022-04-13
