account_value,date,daily_return
9926495917.315989,2020-07-10,
9926118700.793028,2020-07-13,-3.800097497674848e-05
9926210462.665781,2020-07-14,9.244486744330871e-06
9926435477.446404,2020-07-15,2.266874971756927e-05
9926598165.874348,2020-07-16,1.6389410711914465e-05
9926148842.667583,2020-07-17,-4.526457092912661e-05
9924669030.264034,2020-07-20,-0.00014908222987630726
9924993241.644659,2020-07-21,3.2667223424320824e-05
9923621346.293997,2020-07-22,-0.00013822632592896955
9922185323.471592,2020-07-23,-0.00014470753894102462
9915111485.03125,2020-07-24,-0.0007129314974200218
9903954535.551641,2020-07-27,-0.0011252470026638095
9911926849.47699,2020-07-28,0.0008049626941168952
9907829935.256714,2020-07-29,-0.00041333176510394143
9907927075.389996,2020-07-30,9.804380365574517e-06
9903895013.289028,2020-07-31,-0.00040695314673666605
9911688138.044554,2020-08-03,0.0007868747341392979
9918863340.6295,2020-08-04,0.0007239132713836582
9922139024.60851,2020-08-05,0.0003302479191937824
9920845409.642729,2020-08-06,-0.0001303766216711466
9922206810.364677,2020-08-07,0.00013722628120227398
9922805226.241167,2020-08-10,6.031076432155835e-05
9925305871.494236,2020-08-11,0.00025200991010643214
9925612946.539663,2020-08-12,3.0938597701979376e-05
9928971616.62155,2020-08-13,0.0003383841481605643
9926691273.558596,2020-08-14,-0.00022966558380899116
9929079366.475258,2020-08-17,0.00024057290096490824
9927637236.85471,2020-08-18,-0.00014524303485952128
9930245584.485697,2020-08-19,0.0002627359933442541
9929568488.962173,2020-08-20,-6.818517404860724e-05
9937069293.834044,2020-08-21,0.0007554008897978637
9941964608.1225,2020-08-24,0.0004926315942561654
9942918262.047321,2020-08-25,9.592208003272873e-05
9943873971.761398,2020-08-26,9.611963901234866e-05
9947895558.827652,2020-08-27,0.0004044286037487854
9949329029.489462,2020-08-28,0.00014409788013280966
9944145765.646978,2020-08-31,-0.0005209661703940993
9949737380.16879,2020-09-01,0.0005623021477751955
9959586615.244434,2020-09-03,0.000989898999271599
9960574363.894344,2020-09-04,9.917566743156137e-05
9954141519.460522,2020-09-07,-0.000645830671887837
9959808579.860462,2020-09-08,0.0005693168405191962
9960848993.665089,2020-09-09,0.00010446122496077237
9962647991.66216,2020-09-10,0.000180606893871893
9969585131.626198,2020-09-11,0.0006963148722953783
9977075973.670925,2020-09-14,0.0007513694848708674
9979165899.141077,2020-09-15,0.0002094727428825216
9984749120.00594,2020-09-16,0.0005594877288634947
9981470423.635836,2020-09-17,-0.0003283704308137958
9994424657.726192,2020-09-18,0.0012978282297648747
10001614806.511103,2020-09-21,0.0007194159775221198
10014810046.130041,2020-09-22,0.001319310918707739
10021427744.040756,2020-09-23,0.0006607911563207836
10025789829.330746,2020-09-24,0.0004352758310892657
10023901015.717188,2020-09-25,-0.00018839549259574984
10045995492.250532,2020-09-28,0.002204179440589149
10025289848.402948,2020-09-29,-0.002061084325944207
10030031258.9667,2020-09-30,0.00047294498567596044
10044454660.58611,2020-10-01,0.0014380216020279946
10036924321.478521,2020-10-02,-0.000749701139787784
10046697333.264236,2020-10-05,0.0009737058358407769
10057184623.533726,2020-10-06,0.0010438545047799508
10051126241.076687,2020-10-07,-0.0006023934812593446
