account_rewards,date
-2538126.4578590393,2019-10-08
-1105328.7767295837,2019-10-09
6268787.128110886,2019-10-10
1189853.940782547,2019-10-11
1883181.0022792816,2019-10-14
106981.80938529968,2019-10-15
-12833640.06593895,2019-10-16
-3827375.1594944,2019-10-17
-19541658.837173462,2019-10-18
16417730.825222015,2019-10-21
-5231117.469633102,2019-10-22
34273670.54437256,2019-10-23
15332609.840471268,2019-10-24
-1979815.4784698486,2019-10-25
-14141502.075223923,2019-10-28
8526502.596384048,2019-10-29
-19318563.923965454,2019-10-30
13875053.775997162,2019-10-31
38235598.15980911,2019-11-01
5051574.818883896,2019-11-04
2799242.562320709,2019-11-05
6601994.80525589,2019-11-06
-3385196.3051929474,2019-11-07
-4956169.443576813,2019-11-08
1062047.2928199768,2019-11-11
-22227094.323310852,2019-11-12
-3212046.349456787,2019-11-13
-11526575.428533554,2019-11-14
-23877070.241283417,2019-11-15
30851396.605146408,2019-11-18
-20044044.089679718,2019-11-19
-25596438.186271667,2019-11-20
-34487560.729343414,2019-11-21
-14487706.125328064,2019-11-22
5749398.116369247,2019-11-25
9934718.40760231,2019-11-26
-18670800.519176483,2019-11-27
1516829.2523155212,2019-11-28
-36491554.19391823,2019-11-29
-15881425.568853378,2019-12-02
37546958.340631485,2019-12-03
-7097451.874820709,2019-12-04
-632695.0646858215,2019-12-05
3852288.728477478,2019-12-06
-5155604.834062576,2019-12-09
9784218.180324554,2019-12-10
24667990.535284042,2019-12-11
-2801992.479856491,2019-12-12
-4946967.960144043,2019-12-13
-22251598.243110657,2019-12-16
9225020.965242386,2019-12-17
9529413.546556473,2019-12-18
2982780.736684799,2019-12-19
321660.4819583893,2019-12-20
7598719.923931122,2019-12-23
-1305122.110326767,2019-12-24
3557269.4857082367,2019-12-25
12217970.197668076,2019-12-26
4978590.618938446,2019-12-27
-7885711.030408859,2019-12-30
6971600.84122467,2019-12-31
-4739902.981952667,2020-01-02
