account_rewards,date
-98338120.82981491,2023-10-18
139285912.1342144,2023-10-19
-57321968.777181625,2023-10-20
94709801.40088654,2023-10-23
-41777582.92399216,2023-10-24
-274711197.2872734,2023-10-25
81129707.70008087,2023-10-26
-129821005.46543121,2023-10-27
-90600953.00327492,2023-10-30
135111234.72194672,2023-10-31
238202542.23872757,2023-11-01
-38315791.26671028,2023-11-02
92711745.45540237,2023-11-03
-52549786.68002319,2023-11-06
247194935.0157051,2023-11-07
9028862.712591171,2023-11-08
-68767040.5117321,2023-11-09
30681755.586227417,2023-11-10
50166042.59674454,2023-11-13
32241703.121414185,2023-11-14
48476747.03248787,2023-11-15
-130900165.46345139,2023-11-16
31744797.490333557,2023-11-17
39628588.1129837,2023-11-20
56908911.47259903,2023-11-21
-209850614.02270126,2023-11-22
60473134.137290955,2023-11-23
-60367599.94548988,2023-11-24
44669503.539440155,2023-11-27
25834172.882097244,2023-11-28
-25991109.393486023,2023-11-29
53283627.23780632,2023-11-30
148626100.6298523,2023-12-01
-292434.5462913513,2023-12-04
61586359.69682312,2023-12-05
-66984238.65351105,2023-12-06
-649417.2179584503,2023-12-07
2992767.460329056,2023-12-08
25125218.77414131,2023-12-11
-93837506.02959251,2023-12-12
-16132301.85029602,2023-12-13
-41656239.77665901,2023-12-14
-69425188.46322632,2023-12-15
48892309.05553818,2023-12-18
24922061.000099182,2023-12-19
5478482.465381622,2023-12-20
-27228024.988786697,2023-12-21
77659002.80202866,2023-12-22
51933372.56307411,2023-12-25
-1908246.8901119232,2023-12-26
19782008.50474167,2023-12-27
-29529099.49784851,2023-12-28
31065373.263450623,2023-12-29
62433689.98472023,2024-01-02
40955740.62454796,2024-01-03
19844243.94575119,2024-01-04
27381568.39382553,2024-01-05
-17669809.55108261,2024-01-08
-34319533.58892441,2024-01-09
37472285.298065186,2024-01-10
-54570919.30185509,2024-01-11
548993.3509483337,2024-01-12
